TransactionID,isFraud,TransactionDT,TransactionAmt,ProductCD,card1,card2,card3,card4,card5,card6,addr1,addr2,P_emaildomain,R_emaildomain,C1,C2,C5,C11,C13,C14,D1,D2,M1,M2,M3,M4,V11,V15,V29,V35,V45,V53,V62,V75,V87,V94,V100,V200,V300
2987000,0,86409,18.23,W,15102,360.0,150.0,visa,137.0,debit,299.0,87.0,nan,nan,1,2,1,3,1,1,67,9.0,F,T,F,M1,0.2875,0.0,0.0,0.3376,2.057,0.006,0.0,0.0,0.9366,0.0,4.5011,0.119,4.1872
2987001,0,86469,3.03,W,2861,490.0,150.0,visa,226.0,debit,330.0,87.0,gmail.com,gmail.com,3,1,1,3,2,3,24,,nan,T,T,M1,0.4918,0.0,0.0,1.4198,0.7571,1.1288,0.0,0.0,0.8524,0.0,32.742,3.179,3.2343
2987002,0,86495,21.93,S,11806,321.0,150.0,visa,166.0,debit,325.0,87.0,yahoo.com,nan,3,1,0,3,1,1,66,,T,nan,T,M0,0.7459,1.0,,1.6174,1.2637,0.5898,1.0,,1.017,0.0,6.1326,7.7436,5.5206
2987003,0,86514,82.56,W,14283,111.0,150.0,visa,166.0,debit,204.0,87.0,hotmail.com,nan,1,2,1,5,3,3,75,55.0,nan,T,F,M0,0.5838,0.0,1.0,1.3818,1.0454,1.1389,0.0,1.0,1.015,0.0,4.4485,0.7385,1.6951
2987004,0,86517,56.69,W,17493,194.0,185.0,mastercard,226.0,debit,204.0,87.0,hotmail.com,nan,4,1,1,2,2,3,66,1.0,T,nan,nan,M1,0.6209,0.0,0.0,0.9701,1.1945,0.1364,1.0,0.0,1.1101,0.0,32.2616,30.2336,1.6681
2987005,0,86520,50.81,W,13436,555.0,150.0,mastercard,137.0,credit,441.0,,gmail.com,outlook.com,2,2,0,2,5,1,59,61.0,nan,F,T,M0,0.3029,0.0,0.0,0.8904,0.5436,0.6899,0.0,,0.7235,0.0,1.7095,2.2907,1.8076
2987006,0,86522,25.03,C,9890,194.0,150.0,visa,,debit,204.0,87.0,gmail.com,nan,2,1,1,2,3,2,49,14.0,T,T,nan,nan,0.5668,0.0,0.0,1.024,1.4498,0.8115,0.0,0.0,0.9869,,10.1154,12.391,1.0484
2987007,0,86562,9.22,W,16352,490.0,150.0,visa,166.0,debit,,87.0,gmail.com,gmail.com,1,1,1,3,3,3,39,,nan,F,F,M0,0.3373,0.0,0.0,0.4038,1.5475,0.0276,0.0,0.0,0.4734,0.0,4.3598,2.8979,0.0528
2987008,1,86580,55.44,C,6529,,150.0,visa,226.0,debit,330.0,87.0,anonymous.com,yahoo.com,2,5,0,2,6,1,39,,T,nan,F,M2,0.6627,0.0,0.0,1.3116,1.512,0.8271,1.0,0.0,1.1859,0.0,13.2364,4.7777,0.1925
2987009,0,86605,14.38,W,16843,194.0,150.0,american express,226.0,debit,325.0,87.0,yahoo.com,nan,2,1,0,2,3,2,23,8.0,T,T,nan,M1,0.8178,0.0,0.0,0.5468,1.0661,0.6118,1.0,0.0,0.8555,0.0,13.439,17.0429,7.8748
2987010,1,86605,294.15,C,9299,194.0,150.0,visa,226.0,debit,325.0,87.0,yahoo.com,nan,2,3,1,2,4,2,50,8.0,T,F,T,M2,0.4837,0.0,0.0,1.3552,1.9793,1.4248,0.0,0.0,1.2015,0.0,7.9549,6.3801,1.9953
2987011,0,86675,58.59,W,9580,,150.0,mastercard,226.0,debit,325.0,87.0,gmail.com,nan,2,1,0,3,2,1,79,4.0,T,T,T,M1,0.6554,0.0,0.0,0.8389,1.3175,1.0591,1.0,0.0,0.9238,0.0,22.3277,0.0504,1.1272
2987012,0,86711,18.53,W,9616,111.0,150.0,visa,226.0,credit,441.0,87.0,gmail.com,nan,1,3,0,1,2,1,280,29.0,nan,nan,F,M0,0.2713,0.0,0.0,0.5416,1.8439,1.5824,0.0,0.0,0.9727,0.0,20.9077,1.1429,0.4454
2987013,0,86716,17.97,W,19878,111.0,150.0,visa,226.0,debit,204.0,87.0,gmail.com,yahoo.com,2,4,0,3,3,3,129,,T,T,T,nan,0.4909,2.0,0.0,0.1343,1.3319,0.4261,2.0,0.0,0.9748,0.0,10.4358,1.7282,5.5481
2987014,0,86720,30.18,W,12157,490.0,150.0,visa,166.0,debit,325.0,87.0,hotmail.com,gmail.com,1,5,0,2,3,2,241,1.0,nan,T,T,M0,0.7867,,0.0,0.8135,1.5153,1.1877,0.0,,0.9348,0.0,7.8532,4.6672,7.4892
2987015,1,86724,26.06,W,11191,,150.0,visa,219.0,debit,325.0,87.0,anonymous.com,yahoo.com,2,3,0,1,3,1,24,,nan,nan,T,M0,0.402,0.0,0.0,0.9173,1.4475,0.7966,0.0,0.0,0.9007,,4.2194,11.2179,0.0358
2987016,0,86731,101.17,C,12767,194.0,150.0,visa,226.0,credit,,87.0,gmail.com,yahoo.com,3,2,0,2,2,4,28,16.0,T,nan,nan,nan,0.5015,0.0,0.0,0.502,0.7934,0.6542,0.0,0.0,1.266,0.0,5.9373,1.2806,0.0821
2987017,0,86746,39.9,W,18911,,150.0,visa,102.0,debit,299.0,87.0,yahoo.com,outlook.com,3,1,0,2,5,1,36,0.0,T,T,nan,M1,0.556,0.0,1.0,1.1182,1.9007,0.8972,0.0,,0.995,0.0,6.706,3.7065,0.5985
2987018,0,86757,15.93,W,3026,360.0,150.0,visa,166.0,debit,330.0,87.0,gmail.com,anonymous.com,3,1,1,3,5,1,341,1.0,nan,T,F,M1,0.3091,0.0,0.0,0.551,1.3267,1.0621,0.0,0.0,1.2246,0.0,17.012,13.1331,2.9563
2987019,0,86764,219.3,W,11958,321.0,150.0,visa,219.0,credit,325.0,87.0,yahoo.com,nan,1,3,0,4,1,2,75,55.0,nan,nan,nan,M0,0.8263,0.0,1.0,0.4674,1.5091,0.9247,0.0,0.0,1.9782,0.0,28.3538,3.401,1.089
